Timestamp,Exchange,Pair,Bid,Ask,Last,Spread,Volume,Change,PricePerUSD
2025-08-05T23:00:59.118Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:00:59.315Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:00:59.507Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:01:26.717Z,RAPIRA,USDT/RUB,80.95707058338606,80.989505,,0.040063723131546304,,,
2025-08-05T23:01:27.671Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:01:28.640Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:01:29.184Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:01:29.381Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:01:29.575Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:01:29.765Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:01:56.560Z,RAPIRA,USDT/RUB,80.95707058338606,80.989505,,0.040063723131546304,,,
2025-08-05T23:01:57.569Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:01:58.513Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:01:59.060Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:01:59.256Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:01:59.453Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:01:59.646Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:02:26.549Z,RAPIRA,USDT/RUB,80.95707058338606,80.989505,,0.040063723131546304,,,
2025-08-05T23:02:27.513Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:02:28.514Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:02:29.240Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:02:29.436Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:02:29.629Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:02:29.820Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:02:56.527Z,RAPIRA,USDT/RUB,80.95707058338606,80.989505,,0.040063723131546304,,,
2025-08-05T23:02:57.530Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:02:58.543Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:02:59.087Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:02:59.278Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:02:59.473Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:02:59.665Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:03:26.565Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:03:27.499Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:03:28.380Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:03:28.923Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:03:29.115Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:03:29.308Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:03:29.509Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:03:56.546Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:03:57.575Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:03:58.512Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:03:59.219Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:03:59.421Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:03:59.807Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:04:00.183Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:04:26.606Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:04:27.586Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:04:28.537Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:04:29.093Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:04:29.286Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:04:29.482Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:04:29.679Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:04:56.563Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:04:57.523Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:04:58.595Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:04:59.139Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:04:59.333Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:04:59.527Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:04:59.719Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:05:56.563Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:05:57.179Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:05:57.552Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:05:58.094Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:05:58.287Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:05:58.656Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:05:58.849Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:05:26.565Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:05:27.164Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
